,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.7506,-68.5145,250.37,77,1,8.75,CA,1612052891
1,Pinega,64.7001,43.3936,262.2,97,93,2.26,RU,1612053016
2,Rikitea,-23.1203,-134.9692,299.44,73,16,5.01,PF,1612052916
3,Sisimiut,66.9395,-53.6735,258.87,90,74,3.42,GL,1612053016
4,Kavieng,-2.5744,150.7967,301.65,73,99,6.58,PG,1612052834
5,Hong Kong,22.2855,114.1577,290.37,63,0,0.89,HK,1612052897
6,Beyneu,45.3167,55.2,274.21,93,100,4.9,KZ,1612053017
7,Busselton,-33.65,115.3333,293.71,63,0,0.89,AU,1612053017
8,Bluff,-46.6,168.3333,287.37,66,100,2.03,NZ,1612052847
9,Kirakira,-10.4544,161.9205,301.99,79,99,6.6,SB,1612053017
10,‘Āhuimanu,21.4447,-157.8378,300.15,65,75,6.17,US,1612052851
11,Kahului,20.8947,-156.47,299.15,57,40,8.23,US,1612053018
12,Pevek,69.7008,170.3133,237.1,84,3,1.56,RU,1612052608
13,Barrow,71.2906,-156.7887,249.15,70,90,3.09,US,1612053018
14,Kapaa,22.0752,-159.319,299.15,65,75,6.69,US,1612052817
15,Lompoc,34.6391,-120.4579,286.48,67,1,5.66,US,1612052893
16,Mayo,38.8876,-76.5119,272.04,59,1,1.94,US,1612052786
17,Atuona,-9.8,-139.0333,299.44,73,27,7.77,PF,1612052781
18,Dingle,10.9995,122.6711,298.72,80,87,7.23,PH,1612053018
19,Punta Arenas,-53.15,-70.9167,284.15,62,0,11.83,CL,1612053010
20,Korla,41.7597,86.1469,266.05,84,0,2.06,CN,1612052880
21,Mataura,-46.1927,168.8643,293.76,42,83,1.06,NZ,1612052911
22,Dikson,73.5069,80.5464,236.13,80,0,3.24,RU,1612052832
23,Ushuaia,-54.8,-68.3,284.15,62,20,9.77,AR,1612053019
24,Constitución,-35.3333,-72.4167,288.48,93,34,3.78,CL,1612053019
25,Oktyabr'skiy,54.4815,53.471,269.57,98,100,3.09,RU,1612053020
26,Saskylakh,71.9167,114.0833,236.31,82,100,4.75,RU,1612052824
27,Hithadhoo,-0.6,73.0833,300.71,79,65,6.73,MV,1612052795
28,Hermanus,-34.4187,19.2345,292.59,83,2,4.27,ZA,1612052597
29,Rawson,-43.3002,-65.1023,289.07,59,22,6.62,AR,1612053020
30,Lavrentiya,65.5833,-171.0,246.35,84,0,2.61,RU,1612053020
31,Albany,42.6001,-73.9662,264.82,59,11,4.47,US,1612052928
32,Avarua,-21.2078,-159.775,302.15,70,75,2.06,CK,1612052792
33,Aiken,33.5835,-81.5998,280.37,52,75,3.09,US,1612053021
34,Chui,-33.6971,-53.4616,296.55,79,47,6.65,UY,1612052832
35,Makkah al Mukarramah,21.4267,39.8261,292.44,43,0,2.49,SA,1612052821
36,Saint Anthony,45.0205,-93.218,273.15,74,90,4.12,US,1612053021
37,Naze,28.3667,129.4833,289.15,55,40,4.12,JP,1612053022
38,Saint Paul Harbor,57.79,-152.4072,274.15,55,1,10.29,US,1612053022
39,Cape Town,-33.9258,18.4232,294.82,77,75,2.57,ZA,1612052291
40,Faanui,-16.4833,-151.75,300.49,71,78,3.4,PF,1612052794
41,Yangi Marg`ilon,40.4272,71.7189,275.15,44,100,1.03,UZ,1612052853
42,Chokurdakh,70.6333,147.9167,238.93,85,0,3.71,RU,1612053022
43,Buala,-8.145,159.5921,302.87,71,98,7.19,SB,1612052824
44,Port Alfred,-33.5906,26.891,289.82,93,0,0.79,ZA,1612053023
45,Sola,-13.8833,167.55,304.15,70,75,2.57,VU,1612052855
46,Sechura,-5.5569,-80.8222,299.04,60,17,7.65,PE,1612053023
47,Kalmunai,7.4167,81.8167,297.8,86,89,2.34,LK,1612052875
48,Vanimo,-2.6741,141.3028,301.5,74,100,3.18,PG,1612052796
49,Chapais,49.7834,-74.8492,253.15,77,90,3.09,CA,1612053023
50,Clyde River,70.4692,-68.5914,250.15,84,90,2.57,CA,1612052996
51,Grakhovo,56.0502,51.9676,271.15,86,75,5.0,RU,1612053024
52,Ribeira Grande,38.5167,-28.7,290.47,91,63,9.59,PT,1612052909
53,Sitka,57.0531,-135.33,278.15,52,75,2.06,US,1612052823
54,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,299.26,68,100,0.89,AR,1612053024
55,Alice Springs,-23.7,133.8833,304.15,22,42,7.2,AU,1612052864
56,Cayenne,4.9333,-52.3333,300.15,89,75,4.12,GF,1612052842
57,Kānt,27.8,79.8,280.02,58,0,2.26,IN,1612053025
58,Bredasdorp,-34.5322,20.0403,292.59,83,2,3.2,ZA,1612052829
59,Maceió,-9.6658,-35.7353,297.15,94,40,1.54,BR,1612052894
60,Mahébourg,-20.4081,57.7,299.15,83,40,3.6,MU,1612052810
61,Khani,41.9563,42.9566,278.15,75,0,4.63,GE,1612053026
62,Butaritari,3.0707,172.7902,300.54,77,59,8.28,KI,1612052837
63,Lubumbashi,-11.6609,27.4794,290.16,94,70,0.74,CD,1612053026
64,Yellowknife,62.456,-114.3525,248.15,77,20,2.06,CA,1612052800
65,Saint George,37.1041,-113.5841,283.15,50,1,0.63,US,1612053004
66,Cherskiy,68.75,161.3,235.76,83,0,0.43,RU,1612053026
67,Boguchany,58.3814,97.4531,231.8,76,20,0.8,RU,1612053027
68,Geraldton,-28.7667,114.6,306.15,25,0,9.26,AU,1612053027
69,Acarí,-15.4311,-74.6158,296.29,58,100,1.6,PE,1612053027
70,Bambous Virieux,-20.3428,57.7575,299.15,83,40,3.6,MU,1612053027
71,Torbay,47.6666,-52.7314,271.48,93,90,3.6,CA,1612053027
72,Natitingou,10.3042,1.3796,298.15,31,0,3.09,BJ,1612053028
73,San-Pédro,4.7485,-6.6363,298.77,91,12,3.08,CI,1612053028
74,Carnarvon,-24.8667,113.6333,302.15,79,6,2.57,AU,1612053028
