,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chui,-33.6971,-53.4616,294.85,89,100,4.96,UY,1612054027
1,Longyearbyen,78.2186,15.6401,253.15,65,20,8.75,SJ,1612054027
2,Honningsvåg,70.9821,25.9704,270.15,80,0,3.6,NO,1612053848
3,Ribeira Grande,38.5167,-28.7,290.44,91,94,9.74,PT,1612053830
4,Ushuaia,-54.8,-68.3,284.15,62,20,9.77,AR,1612054021
5,Carutapera,-1.195,-46.02,298.78,85,100,3.01,BR,1612054028
6,Mataura,-46.1927,168.8643,295.36,37,96,1.59,NZ,1612054028
7,Nantucket,41.2835,-70.0995,266.15,45,1,6.69,US,1612053982
8,Hong Kong,22.2855,114.1577,290.93,63,0,0.45,HK,1612053750
9,Rairangpur,22.2676,86.1751,283.15,81,0,0.43,IN,1612054028
10,Vila Velha,-20.3297,-40.2925,299.15,78,20,4.63,BR,1612054029
11,Rikitea,-23.1203,-134.9692,299.58,70,0,4.8,PF,1612054029
12,Inhambane,-23.865,35.3833,298.74,83,0,2.71,MZ,1612054029
13,Whitehorse,60.7161,-135.0538,253.15,77,75,1.03,CA,1612054016
14,Muli,2.9167,73.5667,300.65,77,22,6.28,MV,1612054029
15,Albany,42.6001,-73.9662,264.82,59,5,4.47,US,1612053899
16,Upernavik,72.7868,-56.1549,250.3,87,100,3.12,GL,1612054030
17,Port Alfred,-33.5906,26.891,289.82,92,0,0.45,ZA,1612053831
18,Dandong,40.1292,124.3947,265.01,89,94,1.86,CN,1612054030
19,Kaitangata,-46.2817,169.8464,289.26,80,100,4.92,NZ,1612054030
20,Barrow,71.2906,-156.7887,249.15,70,90,3.09,US,1612054030
21,Tsaitien,30.5833,114.0333,279.15,93,100,0.96,CN,1612054030
22,Castro,-24.7911,-50.0119,291.86,97,100,2.68,BR,1612054030
23,Hobart,-42.8794,147.3294,297.04,40,40,4.63,AU,1612054031
24,Tamiahua,21.2667,-97.45,294.62,92,63,3.04,MX,1612053914
25,Marawi,7.9986,124.2928,300.37,80,43,0.45,PH,1612053830
26,Camocim,-2.9022,-40.8411,299.73,77,100,6.62,BR,1612054031
27,Kloulklubed,7.0419,134.2556,301.15,74,90,4.63,PW,1612054031
28,Barcelos,41.5388,-8.6151,285.15,94,75,1.03,PT,1612053913
29,Arlit,18.7369,7.3853,288.84,27,0,2.96,NE,1612054032
30,George Town,5.4112,100.3354,299.15,83,20,2.89,MY,1612054032
31,Emerald,-23.5333,148.1667,303.15,48,40,2.57,AU,1612054032
32,Hirara,24.8,125.2833,292.15,59,40,4.63,JP,1612054032
33,La Ronge,55.1001,-105.2842,262.15,85,6,0.51,CA,1612053845
34,Rawa Mazowiecka,51.7644,20.2549,268.71,80,75,2.57,PL,1612054033
35,Sobolevo,54.4299,31.8996,264.04,97,100,1.72,RU,1612054033
36,Ibrā’,22.6906,58.5334,285.78,60,0,1.64,OM,1612054033
37,Kapaa,22.0752,-159.319,299.15,65,75,6.69,US,1612054033
38,Avera,33.194,-82.5271,282.15,46,1,2.57,US,1612054034
39,Nikolskoye,59.7035,30.7861,269.26,93,75,3.0,RU,1612054034
40,Leningradskiy,69.3833,178.4167,240.43,82,0,1.75,RU,1612053847
41,Kumul,42.8,93.45,266.9,85,0,2.24,CN,1612054034
42,Taksimo,56.3444,114.8794,239.54,76,100,0.09,RU,1612054034
43,Cape Town,-33.9258,18.4232,294.82,77,75,2.57,ZA,1612053858
44,Narsaq,60.9167,-46.05,277.15,28,75,14.92,GL,1612054034
45,Ilulissat,69.2167,-51.1,259.15,61,90,3.6,GL,1612053834
46,Aklavik,68.2191,-135.0107,246.15,76,90,2.57,CA,1612054035
47,Tiksi,71.6872,128.8694,240.1,86,100,2.09,RU,1612054035
48,Anadyr,64.75,177.4833,253.15,71,20,12.0,RU,1612054035
49,Yellowknife,62.456,-114.3525,248.15,77,20,2.06,CA,1612053547
50,Yumen,40.2833,97.2,267.4,73,0,10.2,CN,1612054035
51,Bluff,-46.6,168.3333,287.71,68,98,3.31,NZ,1612054036
52,Antananarivo,-18.9137,47.5361,291.15,94,75,1.03,MG,1612054036
53,Mar del Plata,-38.0023,-57.5575,289.82,63,75,8.23,AR,1612054036
54,Carnarvon,-24.8667,113.6333,302.15,79,6,2.57,AU,1612054036
55,Coyhaique,-45.5752,-72.0662,291.15,45,0,4.12,CL,1612054036
56,Pochutla,15.7432,-96.4661,301.15,65,20,5.14,MX,1612054036
